"description","name","id","created_at","updated_at","deleted_at"
"","CANNABIS SATIVA","152","2024-09-30 14:39:29.80408+00","2024-09-30 14:39:29.80408+00",NULL
"","CANTHARIS","153","2024-09-30 14:39:29.806422+00","2024-09-30 14:39:29.806422+00",NULL
"","CAPSICUM ANNUUM","154","2024-09-30 14:39:29.80895+00","2024-09-30 14:39:29.80895+00",NULL
"","CARBOLICUM","155","2024-09-30 14:39:29.811333+00","2024-09-30 14:39:29.811333+00",NULL
"","CARBO","156","2024-09-30 14:39:29.813833+00","2024-09-30 14:39:29.813833+00",NULL
"","CARBO","157","2024-09-30 14:39:29.816265+00","2024-09-30 14:39:29.816265+00",NULL
"","CARBONEUM","158","2024-09-30 14:39:29.818562+00","2024-09-30 14:39:29.818562+00",NULL
"","CARBONEUM","159","2024-09-30 14:39:29.820962+00","2024-09-30 14:39:29.820962+00",NULL
"","CARBONEUM","160","2024-09-30 14:39:29.823473+00","2024-09-30 14:39:29.823473+00",NULL
"","CARCINOSINUM","161","2024-09-30 14:39:29.826119+00","2024-09-30 14:39:29.826119+00",NULL
"","CARDUUS","162","2024-09-30 14:39:29.828585+00","2024-09-30 14:39:29.828585+00",NULL
"","CARLSBAD AQUA","163","2024-09-30 14:39:29.831009+00","2024-09-30 14:39:29.831009+00",NULL
"","CASCARA SAGRADA","164","2024-09-30 14:39:29.833716+00","2024-09-30 14:39:29.833716+00",NULL
"","CASCARILLA","165","2024-09-30 14:39:29.836338+00","2024-09-30 14:39:29.836338+00",NULL
"","CASTOREUM CANADENSE","166","2024-09-30 14:39:29.838561+00","2024-09-30 14:39:29.838561+00",NULL
"","CASTANEA","167","2024-09-30 14:39:29.841268+00","2024-09-30 14:39:29.841268+00",NULL
"","CASTOR EQUI","168","2024-09-30 14:39:29.843775+00","2024-09-30 14:39:29.843775+00",NULL
"","CATARIA NEPETA","169","2024-09-30 14:39:29.846303+00","2024-09-30 14:39:29.846303+00",NULL
"","CAULOPHYLLUM","170","2024-09-30 14:39:29.848759+00","2024-09-30 14:39:29.848759+00",NULL
"","CAUSTICUM","171","2024-09-30 14:39:29.851321+00","2024-09-30 14:39:29.851321+00",NULL
"","CEANOTHUS","172","2024-09-30 14:39:29.85435+00","2024-09-30 14:39:29.85435+00",NULL
"","CEDRON (SIMARUBA","173","2024-09-30 14:39:29.856671+00","2024-09-30 14:39:29.856671+00",NULL
"","CENCHRIS","174","2024-09-30 14:39:29.858918+00","2024-09-30 14:39:29.858918+00",NULL
"","CERIUM OXALICUM","175","2024-09-30 14:39:29.861579+00","2024-09-30 14:39:29.861579+00",NULL
"","CEREUS","176","2024-09-30 14:39:29.864347+00","2024-09-30 14:39:29.864347+00",NULL
"","CHAMOMILLA","177","2024-09-30 14:39:29.86686+00","2024-09-30 14:39:29.86686+00",NULL
"","CHAPARRO AMARGOSO","178","2024-09-30 14:39:29.869626+00","2024-09-30 14:39:29.869626+00",NULL
"","CHELIDONIUM MAJUS","179","2024-09-30 14:39:29.872297+00","2024-09-30 14:39:29.872297+00",NULL
"","CHELONE GLABRA","180","2024-09-30 14:39:29.874917+00","2024-09-30 14:39:29.874917+00",NULL
"","CHENOPODIUM","181","2024-09-30 14:39:29.877462+00","2024-09-30 14:39:29.877462+00",NULL
"","CHIMAPHILA","182","2024-09-30 14:39:29.880323+00","2024-09-30 14:39:29.880323+00",NULL
"","CHINA OFFICINALIS","183","2024-09-30 14:39:29.882652+00","2024-09-30 14:39:29.882652+00",NULL
"","CHININUM","184","2024-09-30 14:39:29.885186+00","2024-09-30 14:39:29.885186+00",NULL
"","CHININUM","185","2024-09-30 14:39:29.887746+00","2024-09-30 14:39:29.887746+00",NULL
"","CHIONANTHUS","186","2024-09-30 14:39:29.890355+00","2024-09-30 14:39:29.890355+00",NULL
"","CHLOROFORMIUM","187","2024-09-30 14:39:29.892899+00","2024-09-30 14:39:29.892899+00",NULL
"","CHLORALUM","188","2024-09-30 14:39:29.895379+00","2024-09-30 14:39:29.895379+00",NULL
"","CHLORUM","189","2024-09-30 14:39:29.897875+00","2024-09-30 14:39:29.897875+00",NULL
"","CHOLESTERINUM","190","2024-09-30 14:39:29.900663+00","2024-09-30 14:39:29.900663+00",NULL
"","CHROMICUM","191","2024-09-30 14:39:29.903333+00","2024-09-30 14:39:29.903333+00",NULL
"","CHRYSAROBINUM","192","2024-09-30 14:39:29.906005+00","2024-09-30 14:39:29.906005+00",NULL
"","CICUTA VIROSA","193","2024-09-30 14:39:29.908637+00","2024-09-30 14:39:29.908637+00",NULL
"","CIMICIFUGA","194","2024-09-30 14:39:29.911827+00","2024-09-30 14:39:29.911827+00",NULL
"","CIMEX LECTULARIUS","195","2024-09-30 14:39:29.916038+00","2024-09-30 14:39:29.916038+00",NULL
"","CINA MARITIMA","196","2024-09-30 14:39:29.919826+00","2024-09-30 14:39:29.919826+00",NULL
"","CINERARIA MARITIMA","197","2024-09-30 14:39:29.923926+00","2024-09-30 14:39:29.923926+00",NULL
"","CINNABARIS","198","2024-09-30 14:39:29.927504+00","2024-09-30 14:39:29.927504+00",NULL
"","CINNAMOMUM","199","2024-09-30 14:39:29.931145+00","2024-09-30 14:39:29.931145+00",NULL
"","CISTUS CANADENSIS","200","2024-09-30 14:39:29.934725+00","2024-09-30 14:39:29.934725+00",NULL
"","CITRUS VULGARIS","201","2024-09-30 14:39:29.938159+00","2024-09-30 14:39:29.938159+00",NULL
"","CLEMATIS ERECTA","202","2024-09-30 14:39:29.941716+00","2024-09-30 14:39:29.941716+00",NULL
"","COBALTUM METALLICUM","203","2024-09-30 14:39:29.945333+00","2024-09-30 14:39:29.945333+00",NULL
"","COCCUS CACTI","204","2024-09-30 14:39:29.949203+00","2024-09-30 14:39:29.949203+00",NULL
"","COCA-ERYTHROXYLON","205","2024-09-30 14:39:29.95324+00","2024-09-30 14:39:29.95324+00",NULL
"","COCAINUM","206","2024-09-30 14:39:29.95737+00","2024-09-30 14:39:29.95737+00",NULL
"","COCCULUS INDICUS","207","2024-09-30 14:39:29.96112+00","2024-09-30 14:39:29.96112+00",NULL
"","COCCINELLA","208","2024-09-30 14:39:29.964827+00","2024-09-30 14:39:29.964827+00",NULL
"","COCHLEARIA","209","2024-09-30 14:39:29.968586+00","2024-09-30 14:39:29.968586+00",NULL
"","CODEINUM","210","2024-09-30 14:39:29.972578+00","2024-09-30 14:39:29.972578+00",NULL
"","COFFEA CRUDA","211","2024-09-30 14:39:29.976676+00","2024-09-30 14:39:29.976676+00",NULL
"","COLCHICUM","212","2024-09-30 14:39:29.980386+00","2024-09-30 14:39:29.980386+00",NULL
"","COLLINSONIA","213","2024-09-30 14:39:29.984023+00","2024-09-30 14:39:29.984023+00",NULL
"","COLOCYNTHIS","214","2024-09-30 14:39:29.987678+00","2024-09-30 14:39:29.987678+00",NULL
"","CONIUM MACULATUM","215","2024-09-30 14:39:29.991447+00","2024-09-30 14:39:29.991447+00",NULL
"","COMOCLADIA DENTATA","216","2024-09-30 14:39:29.995185+00","2024-09-30 14:39:29.995185+00",NULL
"","CONVALLARIA MAJALIS","217","2024-09-30 14:39:29.998798+00","2024-09-30 14:39:29.998798+00",NULL
"","COPAIVA OFFICINALIS","218","2024-09-30 14:39:30.002258+00","2024-09-30 14:39:30.002258+00",NULL
"","CORALLIUM RUBRUM","219","2024-09-30 14:39:30.005841+00","2024-09-30 14:39:30.005841+00",NULL
"","CORALLORHIZA","220","2024-09-30 14:39:30.00946+00","2024-09-30 14:39:30.00946+00",NULL
"","CORNUS CIRCINATA","221","2024-09-30 14:39:30.013268+00","2024-09-30 14:39:30.013268+00",NULL
"","CORYDALIS FORMOSA","222","2024-09-30 14:39:30.016828+00","2024-09-30 14:39:30.016828+00",NULL
"","COTYLEDON UMBILICUS","223","2024-09-30 14:39:30.020285+00","2024-09-30 14:39:30.020285+00",NULL
"","CRATAEGUS","224","2024-09-30 14:39:30.024228+00","2024-09-30 14:39:30.024228+00",NULL
"","CROCUS SATIVUS","225","2024-09-30 14:39:30.02808+00","2024-09-30 14:39:30.02808+00",NULL
"","CROTALUS","226","2024-09-30 14:39:30.031492+00","2024-09-30 14:39:30.031492+00",NULL
"","CROTON TIGLIUM","227","2024-09-30 14:39:30.035708+00","2024-09-30 14:39:30.035708+00",NULL
"","CUBEBA OFFICINALIS","228","2024-09-30 14:39:30.039592+00","2024-09-30 14:39:30.039592+00",NULL
"","CUCURBITA","229","2024-09-30 14:39:30.043477+00","2024-09-30 14:39:30.043477+00",NULL
"","CUCURBITA PEPO","230","2024-09-30 14:39:30.047183+00","2024-09-30 14:39:30.047183+00",NULL
"","CUNDURANGO","231","2024-09-30 14:39:30.050864+00","2024-09-30 14:39:30.050864+00",NULL
"","CUPHEA VISCOSISSIMA","232","2024-09-30 14:39:30.054425+00","2024-09-30 14:39:30.054425+00",NULL
"","CUPRUM METALLICUM","233","2024-09-30 14:39:30.057885+00","2024-09-30 14:39:30.057885+00",NULL
"","CUPRUM","234","2024-09-30 14:39:30.061318+00","2024-09-30 14:39:30.061318+00",NULL
"","CUPRUM","235","2024-09-30 14:39:30.064888+00","2024-09-30 14:39:30.064888+00",NULL
"","CURARE (WOORARI)","236","2024-09-30 14:39:30.068459+00","2024-09-30 14:39:30.068459+00",NULL
"","CYCLAMEN EUROPAEUM","237","2024-09-30 14:39:30.071995+00","2024-09-30 14:39:30.071995+00",NULL
"","CYPRIPEDIUM","238","2024-09-30 14:39:30.075471+00","2024-09-30 14:39:30.075471+00",NULL
"","CYTISUS LABURNUM","239","2024-09-30 14:39:30.079344+00","2024-09-30 14:39:30.079344+00",NULL
"","DAMIANA (TURNERA)","240","2024-09-30 14:39:30.268271+00","2024-09-30 14:39:30.268271+00",NULL
"","DAPHNE INDICA","241","2024-09-30 14:39:30.272067+00","2024-09-30 14:39:30.272067+00",NULL
"","DIGITALIS PURPUREA","242","2024-09-30 14:39:30.275826+00","2024-09-30 14:39:30.275826+00",NULL
"","DIOSCOREA VILLOSA","243","2024-09-30 14:39:30.27935+00","2024-09-30 14:39:30.27935+00",NULL
"","DIOSMA LINCARIS","244","2024-09-30 14:39:30.282899+00","2024-09-30 14:39:30.282899+00",NULL
"","DIPHTHERINUM","245","2024-09-30 14:39:30.286386+00","2024-09-30 14:39:30.286386+00",NULL
"","DOLICHOS PRURIENS","246","2024-09-30 14:39:30.289892+00","2024-09-30 14:39:30.289892+00",NULL
"","DORYPHORA","247","2024-09-30 14:39:30.293366+00","2024-09-30 14:39:30.293366+00",NULL
"","DROSERA","248","2024-09-30 14:39:30.296621+00","2024-09-30 14:39:30.296621+00",NULL
"","DUBOISIA","249","2024-09-30 14:39:30.2996+00","2024-09-30 14:39:30.2996+00",NULL
"","DULCAMARA","250","2024-09-30 14:39:30.302701+00","2024-09-30 14:39:30.302701+00",NULL
"","ECHINACEA ANGUSTIFOLIA (ECHINACEA - RUDBECKIA)","251","2024-09-30 14:39:30.576475+00","2024-09-30 14:39:30.576475+00",NULL
"","ELAPS CORALLINUS","252","2024-09-30 14:39:30.580601+00","2024-09-30 14:39:30.580601+00",NULL
